id,time_key,product_key,promotion_key,store_key,dollar_sales,unit_sales,dollar_cost,customer_count
1,1,1,1,15,78.35,58,81.19,38
2,2,1,1,16,102.85,76,113.32,65
3,3,1,1,1,116.63,86,128.15,59
4,4,1,1,20,7.6,6,8.51,4
5,5,1,1,11,7.23,5,7.77,4
6,6,1,1,6,87.59,65,90.47,41
7,7,1,1,17,133.32,99,148.5,60
8,8,1,1,14,32.98,24,35.18,13
9,9,1,1,20,2.12,2,2.28,1
10,10,1,1,3,38.46,28,38.68,18
11,11,1,1,8,128.25,95,143.95,66
12,12,1,1,6,22.01,16,23.79,11
13,13,1,1,9,44.1,33,47.59,20
14,14,1,1,4,10.91,8,11.54,8
15,15,1,1,6,51.23,38,53.08,36
16,16,1,11,13,16.56,10,14.18,8
17,17,1,11,19,3.82,2,3.27,2
18,18,1,11,9,84.91,50,72.29,37
19,19,1,11,8,45.58,27,36.72,17
20,20,1,11,20,65.96,39,55.17,29
21,21,1,11,4,43.48,26,37.52,20
22,22,1,11,4,110.61,65,94.09,46
23,23,1,11,3,77.68,46,68,37
24,24,1,11,17,35.55,21,28.7,12
25,25,1,11,7,0.04,0,0.03,0
26,26,1,11,11,13.84,8,11.34,7
27,27,1,11,10,25.35,15,22.06,14
28,28,1,11,11,128.06,76,107.59,55
29,29,1,11,10,55.73,33,45.11,26
30,30,1,11,4,16.55,10,13.97,6
31,31,1,11,18,46.13,27,40.01,17
32,32,1,11,2,54.54,32,47.94,21
33,33,1,11,5,43.03,25,35.89,13
34,34,1,11,10,146.11,86,125.49,76
35,35,1,11,19,91.76,54,74.15,44
36,36,1,11,9,19.37,11,17.29,9
37,37,1,11,7,81.12,48,66.67,48
38,38,1,11,3,58.37,35,49.89,33
39,39,1,11,11,143.18,85,126.38,71
40,40,1,11,15,57.43,34,48.79,24
41,41,1,11,14,71.47,42,61.06,38
42,42,1,11,11,86.03,51,70.79,41
43,43,1,11,10,149.84,89,125.42,58
44,44,1,11,6,89.54,53,73.63,42
45,45,1,11,8,80.78,48,66.17,40
46,46,1,11,15,132.18,78,107.88,71
47,47,1,11,5,11.13,7,8.97,6
48,48,1,11,8,20.2,12,16.4,7
49,49,1,11,1,90.08,53,77.12,32
50,50,1,11,10,127.14,75,106.78,72
51,51,1,11,15,107.24,63,93.44,32
52,52,1,11,9,166.53,99,146.59,84
53,53,1,11,9,46.84,28,39.14,20
54,54,1,11,19,109.17,65,91.13,36
55,55,1,11,4,73.14,43,65.52,33
56,56,1,11,10,36.81,22,30.84,15
57,57,1,11,6,23.45,14,19.97,14
58,58,1,11,12,111.08,66,93.76,56
59,59,1,11,2,118.39,70,100.59,40
60,60,1,11,5,132.58,78,106.73,60
61,61,1,11,16,54.96,33,49.31,29
62,62,1,11,14,148.01,88,124.57,49
63,63,1,11,20,117.67,70,98.86,35
64,64,1,11,4,68.62,41,55.63,26
65,65,1,11,13,84.16,50,68.91,47
66,66,1,11,8,130.27,77,107.06,56
67,67,1,11,5,103.16,61,86.39,42
68,68,1,11,18,157.43,93,134.09,62
69,69,1,11,18,43.86,26,35.87,17
70,70,1,11,1,142.11,84,117.65,72
71,71,1,11,9,125.36,74,105.78,40
72,72,1,11,9,120.08,71,99.82,64
73,73,1,11,4,161.6,96,133.21,93
74,74,1,11,3,106.97,63,91.98,60
75,75,1,11,12,145.37,86,117.38,62
76,76,1,11,16,63.98,38,53.73,29
77,77,1,11,6,35.44,21,28.63,20
78,78,1,11,3,152.16,90,125.25,88
79,79,1,11,17,83.15,49,72.92,45
80,80,1,11,8,55.12,33,46.37,19
81,81,1,11,13,34.65,21,30.12,15
82,82,1,11,4,79.67,47,63.76,34
83,83,1,11,6,150.63,89,132.88,52
84,84,1,11,3,25.63,15,21.47,9
85,85,1,11,20,98.27,58,85.79,33
86,86,1,11,6,139.91,83,122.89,74
87,87,1,11,7,93.81,56,82.59,43
88,88,1,11,5,96.92,57,80.88,44
89,89,1,11,9,8.46,5,7.23,3
90,90,1,11,20,167.74,99,148.28,70
91,91,1,11,17,43.68,26,35.7,22
92,92,1,11,1,117.04,69,94.92,38
93,93,1,2,6,56.68,56,78.52,36
94,94,1,2,17,38.11,38,53.36,35
95,95,1,2,9,66.8,66,93.59,64
96,96,1,2,13,22.64,22,32.39,20
97,97,1,2,10,28.7,28,41.46,27
98,98,1,2,6,1.44,1,1.99,1
99,99,1,2,16,61.42,61,84.63,46
100,100,1,2,16,9.45,9,13.45,7
101,101,1,2,2,70.87,70,100.39,49
102,102,1,2,19,59.97,59,85.28,48
103,103,1,2,2,28.75,28,38.43,16
104,104,1,2,9,56.63,56,82.87,29
105,105,1,2,9,31.62,31,45.34,24
106,106,1,2,12,92.2,91,134.77,72
107,107,1,2,9,16.52,16,22.19,10
108,108,1,11,16,58.36,35,50.68,31
109,109,1,11,1,81.71,48,67.05,39
110,110,1,11,19,2.46,1,2.13,1
111,111,1,11,1,12.44,7,10.32,6
112,112,1,11,17,9.24,5,7.91,4
113,113,1,11,9,123.96,73,104.76,48
114,114,1,11,2,96.83,57,84.86,45
115,115,1,11,14,70.45,42,61.98,36
116,116,1,11,14,32.5,19,28.51,10
117,117,1,11,5,138.56,82,113.89,49
118,118,1,11,5,43.52,26,35.93,22
119,119,1,11,14,128.24,76,106.55,69
120,120,1,11,15,37.61,22,31.43,17
121,121,1,11,8,97.84,58,84.44,33
122,122,1,11,2,141.72,84,122.46,60
123,123,1,11,4,164.46,97,144.22,67
124,124,1,11,10,113.9,67,91.55,56
125,125,1,11,18,19.81,12,16.69,10
126,126,1,11,8,126.34,75,106.59,64
127,127,1,11,11,46.99,28,38,28
128,128,1,11,6,51.82,31,45.87,20
129,129,1,11,16,50.71,30,40.93,22
130,130,1,11,10,5.11,3,4.25,2
131,131,1,11,7,106.01,63,95.03,57
132,132,1,11,12,32.15,19,28.62,13
133,133,1,11,13,129.63,77,112.97,65
134,134,1,11,16,92.9,55,79.05,43
135,135,1,11,6,59.24,35,53.15,27
136,136,1,11,12,5.41,3,4.54,2
137,137,1,11,14,33.46,20,28.03,11
138,138,1,11,13,74.29,44,62.56,29
139,139,1,11,15,7.42,4,6.6,2
140,140,1,11,10,127.64,76,112.61,46
141,141,1,11,10,139.99,83,117.74,61
142,142,1,11,7,136.39,81,116.54,62
143,143,1,11,13,120.17,71,99.24,38
144,144,1,11,6,55.26,33,47.79,22
145,145,1,11,8,36.29,21,29.81,15
